model,series,h,regime,n,mspe_ratio,rmae,sr,pt_p,dm_p
garch_t,platinum_fut,5,calm,2537,0.9975,0.9995,0.507,0.158,0.29
garch_t,platinum_fut,5,covid,135,0.9992,0.9976,0.519,,0.47
garch_t,platinum_fut,5,ukraine,131,1.0064,1.0043,0.397,0.932,0.967
garch_t,platinum_fut,22,ALL,2803,0.9909,1.0033,0.494,0.702,0.305
garch_t,platinum_fut,22,calm,2537,0.9893,1.0026,0.505,0.227,0.29
garch_t,platinum_fut,22,covid,135,1.0004,1.0076,0.444,,0.503
garch_t,platinum_fut,22,ukraine,131,1.0204,1.0106,0.321,0.999,0.875
garch_t,corn_fut,1,ALL,2802,1.0012,1.0003,0.488,0.754,0.853
garch_t,corn_fut,1,calm,2536,1.0013,1.0009,0.482,0.883,0.874
garch_t,corn_fut,1,covid,135,0.9996,0.9999,0.511,0.336,0.309
garch_t,corn_fut,1,ukraine,131,1.0012,0.9957,0.58,,0.617
garch_t,corn_fut,5,ALL,2802,1.0061,1.0004,0.482,1.0,0.852
garch_t,corn_fut,5,calm,2536,1.0072,1.0006,0.484,1.0,0.909
