model,series,h,n,mspe_ratio,rmae,dm_p
chronos_bolt_base,wheat_fut,22,106,1.2213,1.0891,0.874
chronos_2,wheat_fut,22,106,1.2118,1.0837,0.785
chronos_2_lora,wheat_fut,22,106,1.1934,1.077,0.79
chronos_2_full,wheat_fut,22,106,0.9948,1.0103,0.477
timesfm_25,wheat_fut,22,106,1.2185,1.1118,0.805
moirai2_small,wheat_fut,22,106,1.0303,1.0019,0.54
ar5_returns,soybean_fut,1,106,1.006,1.007,0.86
lear_lite,soybean_fut,1,106,1.001,1.0056,0.528
garch_t,soybean_fut,1,106,1.0021,1.0007,0.638
qr_ar,soybean_fut,1,106,1.0071,1.0215,0.706
chronos_bolt_small,soybean_fut,1,106,1.119,1.0741,0.966
chronos_bolt_base,soybean_fut,1,106,1.0986,1.0787,0.965
chronos_2,soybean_fut,1,106,1.146,1.0865,0.981
chronos_2_lora,soybean_fut,1,106,1.1604,1.1107,0.993
chronos_2_full,soybean_fut,1,106,1.1381,1.0884,0.987
timesfm_25,soybean_fut,1,106,1.0133,0.9973,0.721
moirai2_small,soybean_fut,1,106,1.0428,1.0232,0.852
ar5_returns,soybean_fut,5,106,0.9953,0.9991,0.392
lear_lite,soybean_fut,5,106,0.9987,0.9943,0.488
garch_t,soybean_fut,5,106,1.0036,1.0048,0.546
qr_ar,soybean_fut,5,106,1.0082,1.0061,0.612
chronos_bolt_small,soybean_fut,5,106,1.07,1.0371,0.735
chronos_bolt_base,soybean_fut,5,106,1.0791,1.0559,0.817
chronos_2,soybean_fut,5,106,1.1256,1.0684,0.987
chronos_2_lora,soybean_fut,5,106,1.0823,1.0251,0.891
chronos_2_full,soybean_fut,5,106,1.0852,1.0465,0.922
timesfm_25,soybean_fut,5,106,1.0221,1.0152,0.728
moirai2_small,soybean_fut,5,106,0.9648,0.9879,0.288
ar5_returns,soybean_fut,22,106,0.9738,0.9723,0.209
lear_lite,soybean_fut,22,106,0.9773,0.9691,0.333
garch_t,soybean_fut,22,106,0.9808,0.9546,0.42
qr_ar,soybean_fut,22,106,0.9962,0.978,0.48
chronos_bolt_small,soybean_fut,22,106,1.1303,1.0489,0.691
chronos_bolt_base,soybean_fut,22,106,1.1864,1.0655,0.725
chronos_2,soybean_fut,22,106,1.056,1.0326,
chronos_2_lora,soybean_fut,22,106,1.0235,1.0096,0.867
chronos_2_full,soybean_fut,22,106,1.0055,0.9925,0.535
timesfm_25,soybean_fut,22,106,1.1299,1.0748,0.851
moirai2_small,soybean_fut,22,106,0.9893,1.0471,0.475
